X,Y,SiteName,ObservationID,InvasiveName,ObservationDate,Observer,SurveyType,Latitude,Longitude,Town,GrossArea,InfestedArea,PlantDescription,DistributionName,AssessmentDate,TreatmentDate,TreatmentEffectiveness,TreatmentType,TreatmentPerson,TreatmentAssessmentDate,Assessor,TreatmentAssessmentNotes,TreatmentHours,ChemicalName,ChemicalConsentration,ChemicalOunces,ApplicationMethod,CertifiedApplicator,EPARegistationNumber
562565.886668624,242022.709435717,West Mountain WMA,75,Common reed,Aug 12 2011 ,,Unspecified,44.67574867,-71.71091166,_Unknown,.5,.2,"Mature adult < 4"" dbh",Scattered Plants or Clumps,Jul 29 2015 ,Jul 29 2015 ,,Pesticide,,Aug 12 2011 ,,,0.5,RODEO,22,,Snip and Drip,Doug Morin,
562565.886668624,242022.709435717,West Mountain WMA,75,Common reed,Aug 12 2011 ,,Unspecified,44.67574867,-71.71091166,_Unknown,.5,.2,"Mature adult < 4"" dbh",Scattered Plants or Clumps,May  7 2019 ,Jul 29 2015 ,,Pesticide,,Aug 12 2011 ,,,0.5,RODEO,22,,Snip and Drip,Doug Morin,
561411.96725717,247457.111534279,West Mountain WMA,76,Common reed,Aug 12 2011 ,,Unspecified,44.7246884974746,-71.7247635126114,Ferdinand,10,.5,Non-woody,Scattered Dense Patches,Aug 12 2011 ,Aug 12 2011 ,Highly Effective,Pesticide,,Jul 29 2015 ,Kathleen Decker,unable to relocate any plants at treatment locations.,2,,50,10,Snip and Drip,,
547708.739722956,273690.331280393,Bill Sladyk WMA,86,Common reed,Nov  8 2011 ,,Unspecified,44.96178,-71.89527,Holland,.01,.01,Flowers,Dominant Cover,Jan  9 2017 ,,,,,,,,,,,,,,
454276.246824097,156341.78194131,Branbury S.P.,92,Norway maple,Jun 10 2010 ,Tess Greaves,Contractor,43.9059,-73.0692,Salisbury,,,,Single Plant or Clump,Jun 10 2010 ,,,,Tess Greaves,,,,,,,,,,
454348.467509459,156330.173577988,Branbury S.P.,93,Norway maple,Jun 10 2010 ,Tess Greaves,Contractor,43.9058,-73.0683,Salisbury,,0,,Scattered Plants or Clumps,Jun 10 2010 ,,,,Tess Greaves,,,,,,,,,,
454374.094331202,156552.221157135,Branbury S. P.,94,Goutweed,Jun  9 2010 ,Tess Greaves,Contractor,43.9078,-73.068,Salisbury,,.03,,,Jun  9 2010 ,,,,Tess Greaves,,,,,,,,,,
454436.449403808,156274.013034132,Branbury,95,Goutweed,Jun  9 2010 ,Tess Greaves,Contractor,43.9053,-73.0672,Salisbury,,.35,,,Jun  9 2010 ,,,,Tess Greaves,,,,,,,,,,
454244.880792785,156453.110039635,Branbury S.P.,96,Goutweed,Jun 10 2010 ,Tess Greaves,Contractor,43.9069,-73.0696,Salisbury,,.11,,,Jun 10 2010 ,,,,Tess Greaves,,,,,,,,,,
454605.220350912,156283.967706568,Branbury S. P.,97,Goutweed,Jun  9 2010 ,Tess Greaves,Contractor,43.9054,-73.0651,Salisbury,,.01,,,Jun  9 2010 ,,,,Tess Greaves,,,,,,,,,,
